Recipient,Total,Party,Chamber
"Meadows, Mark",10000,Republican,House
"Radel, Trey",2500,Republican,House
"Massie, Thomas",12000,Republican,House
"Burton, Dan",1000,Republican,House
"Feinstein, Dianne",12000,Democrat,Senate
"Wenstrup, Brad",27250,Republican,House
"Cardin, Ben",6500,Democrat,Senate
"Adams, Sandy",1000,Republican,House
"Holding, George",25000,Republican,House
"Buchanan, Vernon",12000,Republican,House
"Dewhurst, David H",25600,Republican,Senate
"Canseco, Quico",11000,Republican,House
"Veasey, Marc",21500,Democrat,House
"Cruz, Ted",22500,Republican,Senate
"Castro, Joaquin",25000,Democrat,House
"Williams, Roger",21499,Republican,House
"Hudson, Richard",36700,Republican,House
"Sharpe, Roger Dean",1500,Democrat,House
"Johnson, Jarvis",12800,Democrat,House
"Vela, Filemon",5000,Democrat,House
"Menendez, Robert",4000,Democrat,Senate
"Williams, Michael",1000,Republican,House
"Jackson, Mike",1000,Republican,House
"Hayworth, Nan",10000,Republican,House
"Cicilline, David",3500,Democrat,House
"Stockman, Steve",4000,Republican,House
"Truncale, Michael",2000,Republican,House
"Gibson, Chris",4000,Republican,House
"Kennedy, John",27000,Republican,Senate
"Grimm, Michael",3000,Republican,House
"DeLauro, Rosa L",4000,Democrat,House
"Fischer, Deb",12500,Republican,Senate
"Fortenberry, Jeff",3000,Republican,House
"Jeffries, Hakeem",4000,Democrat,House
"Andrews, Robert E",1000,Democrat,House
"Slaughter, Louise M",1000,Democrat,House
"Matsui, Doris",5000,Democrat,House
"Jackson, Jesse Jr",1000,Democrat,House
"Kerry, John",2000,Democrat,Senate
"Wagner, Ann L",47500,Republican,House
"Kaptur, Marcy",32500,Democrat,House
"Lingle, Linda",6500,Republican,Senate
"Kelly, Mike",47000,Republican,House
"Runyan, Jon",7500,Republican,House
"Kyrillos, Joe",2500,Republican,Senate
"Fitzpatrick, Michael G",20000,Republican,House
"Rothman, Steven R",1000,Democrat,House
"Garamendi, John",7000,Democrat,House
"Perry, Rick",5000,Republican,
"Strickland, Tony",4500,Republican,House
"Capuano, Michael E",1000,Democrat,House
"Lewis, Jerry",1000,Republican,House
"McGovern, James P",2000,Democrat,House
"Garagiola, Robert J",1000,Democrat,House
"Snowe, Olympia",1000,Republican,Senate
"Grisham, Michelle Lujan",21500,Democrat,House
"Arnold-Jones, Janice",2500,Republican,House
"Sanchez, John",1000,Republican,Senate
"Bonamici, Suzanne",18500,Democrat,House
"Merkley, Jeff",11600,Democrat,Senate
"Cornilles, Robert",1000,Republican,House
"Daines, Steven",42500,Republican,Senate
"Perry, Scott",30000,Republican,House
"Barr, Andy",12000,Republican,House
"Mandel, Josh",1000,Republican,Senate
"Rogers, Hayden",5000,Democrat,House
"Collins, Doug",27000,Republican,House
