Recipient,Total,Party,Chamber
"Titus, Dina",3500,Democrat,House
"Bartlett, Roscoe G",12000,Republican,House
"Tanner, John",3000,Democrat,House
"Simpson, Mike",11000,Republican,House
"Franks, Trent",8000,Republican,House
"Roybal-Allard, Lucille",3000,Democrat,House
"Bonner, Jo",11000,Republican,House
"Johnson, Hank",11500,Democrat,House
"Connolly, Gerry",16500,Democrat,House
"Schakowsky, Jan",1000,Democrat,House
"Kennedy, Patrick J",1500,Democrat,House
"Petri, Tom",9500,Republican,House
"Johnson, Ron",17000,Republican,Senate
"McConnell, Mitch",16000,Republican,Senate
"Wu, David",1500,Democrat,House
"Rooney, Tom",2500,Republican,House
"Kirkpatrick, Ann",3500,Democrat,House
"Holt, Rush",20000,Democrat,House
"Landrieu, Mary L",13500,Democrat,Senate
"Kissell, Larry",6500,Democrat,House
"Green, Gene",25000,Democrat,House
"Hultgren, Randy",18500,Republican,House
"Stivers, Steve",29000,Republican,House
"Duncan, Jeff",4000,Republican,House
"Reed, Tom",33500,Republican,House
"Christian-Christensen, Donna",1000,Democrat,
"Lance, Leonard",13500,Republican,House
"Hutchison, Kay Bailey",1000,Republican,Senate
"DeGette, Diana",3500,Democrat,House
"Miller, George",1000,Democrat,House
"Chaffetz, Jason",13000,Republican,House
"Hanna, Richard",14000,Republican,House
"Denham, Jeff",37500,Republican,House
"Wicker, Roger",14000,Republican,Senate
"Durbin, Dick",19000,Democrat,Senate
"Bingaman, Jeff",2000,Democrat,Senate
"Gallegly, Elton",2000,Republican,House
"Lofgren, Zoe",2000,Democrat,House
"Pryor, Mark",10000,Democrat,Senate
"Cardoza, Dennis",1000,Democrat,House
"McCaul, Michael",16500,Republican,House
"Lujan, Ben Ray",6000,Democrat,House
"Flores, Bill",9000,Republican,House
"Scott, Tim",24000,Republican,Senate
"Buyer, Steve",1000,Republican,House
"Upton, Fred",43000,Republican,House
"Jackson, Jesse Jr",1000,Democrat,House
"Carper, Tom",22080,Democrat,Senate
"Canseco, Quico",5000,Republican,House
"Carson, Andre",13000,Democrat,House
"Hagan, Kay R",19000,Democrat,Senate
"Graves, Tom",17300,Republican,House
"Gowdy, Trey",21000,Republican,House
"Scott, Bobby",1000,Democrat,House
"Souder, Mark E",1000,Republican,House
"Enzi, Mike",10000,Republican,Senate
"Miller, Gary",5000,Republican,House
"Bilbray, Brian P",3000,Republican,House
"Filner, Bob",1000,Democrat,House
"Castle, Michael N",1000,Republican,House
"McDermott, Jim",5500,Democrat,House
"Forbes, Randy",8000,Republican,House
"Brown-Waite, Ginny",1000,Republican,House
"Moore, Gwen",20000,Democrat,House
"Risch, James E",11000,Republican,Senate
"Duffy, Sean P",17000,Republican,House
"Lieberman, Joe",1000,Independent,Senate
"Diaz-Balart, Mario",9000,Republican,House
"Marchant, Kenny",5000,Republican,House
"Fleming, John",9000,Republican,House
"Amash, Justin",1000,Republican,House
"Carnahan, Russ",1000,Democrat,House
"Reyes, Silvestre",1000,Democrat,House
"Minnick, Walt",1000,Democrat,House
"Rodriguez, Ciro D",1000,Democrat,House
"Shuster, Bill",44000,Republican,House
"Kagen, Steve",1000,Democrat,House
"Begich, Mark",15000,Democrat,Senate
"Schrader, Kurt",13500,Democrat,House
"Owens, Bill",6000,Democrat,House
"Hawkins, Lee",1000,Republican,House
"Gibbs, Bob",15000,Republican,House
"Hurt, Robert",17500,Republican,House
"Rivera, David",1000,Republican,House
"Collins, Susan M",14500,Republican,Senate
"Brown, Henry",1000,Republican,House
"Stark, Pete",2000,Democrat,House
"Hensarling, Jeb",16000,Republican,House
"Udall, Mark",17692,Democrat,Senate
"Scalise, Steve",26500,Republican,House
"Tester, Jon",14000,Democrat,Senate
"Kinzinger, Adam",30000,Republican,House
"Brooks, Mo",10500,Republican,House
"Griffith, Morgan",22500,Republican,House
"Woodall, Rob",10800,Republican,House
"Lee, Mike",2500,Republican,Senate
"Farr, Sam",1000,Democrat,House
"Carnahan, Robin",500,Democrat,Senate
"Harper, Gregg",24000,Republican,House
"Lowey, Nita M",18500,Democrat,House
"Stabenow, Debbie",14000,Democrat,Senate
"Thompson, Glenn",10000,Republican,House
"Rehberg, Denny",2000,Republican,House
"Corker, Bob",20000,Republican,Senate
"Sullivan, John",5000,Republican,House
"Lewis, John",7000,Democrat,House
"Doyle, Mike",3000,Democrat,House
"Casey, Bob",14000,Democrat,Senate
"Tierney, John F",11500,Democrat,House
"Andrews, Robert E",15000,Democrat,House
"Cruz, Ted",10000,Republican,Senate
"Kelly, Mike",29000,Republican,House
"Noem, Kristi",22000,Republican,House
"Chambliss, Saxby",11000,Republican,Senate
"Hartzler, Vicky",21000,Republican,House
"Crenshaw, Ander ",24000,Republican,House
"Wilson, Joe",22500,Republican,House
"West, Allen",1000,Republican,House
"Runyan, Jon",12000,Republican,House
"Rodgers, Cathy McMorris",27000,Republican,House
"Guinta, Frank",12000,Republican,House
"Renacci, Jim",21000,Republican,House
"Dold, Bob",25500,Republican,House
"Schilling, Bobby",6000,Republican,House
"Johnson, Bill",27500,Republican,House
"Beutler, Jaime Herrera",20000,Republican,House
"Heitkamp, Heidi",7000,Democrat,Senate
"Amodei, Mark",10000,Republican,House
"Jenkins, Lynn",26000,Republican,House
"Rokita, Todd",13000,Republican,House
"Buchanan, Vernon",13000,Republican,House
"Palazzo, Steven",19000,Republican,House
"Esty, Elizabeth",12000,Democrat,House
"Rigell, Scott",18000,Republican,House
"Ribble, Reid",15500,Republican,House
"Fincher, Steve",20500,Republican,House
"Cravaack, Chip",5000,Republican,House
"Foxx, Virginia",19500,Republican,House
"Pompeo, Mike",18000,Republican,House
"Hayworth, Nan",5000,Republican,House
"Mulvaney, Mick",10000,Republican,House
"Cleaver, Emanuel",10000,Democrat,House
"Meehan, Patrick",34500,Republican,House
"Scott, Austin",9400,Republican,House
"Desjarlais, Scott",2000,Republican,House
"Webster, Daniel",5000,Republican,House
"Johnson, Eddie Bernice",5000,Democrat,House
"Richmond, Cedric",12500,Democrat,House
"Nunnelee, Alan",8500,Republican,House
"Young, Todd",21000,Republican,House
"Nugent, Richard",7000,Republican,House
"Jones, Walter B Jr",9000,Republican,House
"Fitzpatrick, Michael G",12000,Republican,House
"Huizenga, Bill",9000,Republican,House
"Sewell, Terri A",10500,Democrat,House
"Pocan, Mark",12500,Democrat,House
"Schweikert, David",5000,Republican,House
"Warner, Mark",14000,Democrat,Senate
"Grimm, Michael",6500,Republican,House
"Bass, Charles",7500,Republican,House
"Duckworth, Tammy",17500,Democrat,House
"Cuellar, Henry",7000,Democrat,House
"Edwards, Donna",5500,Democrat,House
"Keating, Bill",8000,Democrat,House
"Heck, Joe",14000,Republican,House
"Ellmers, Renee",27500,Republican,House
"Benishek, Dan",6000,Republican,House
"Cicilline, David",6000,Democrat,House
"Smith, Adrian",15000,Republican,House
"Thompson, Tommy G",2500,Republican,Senate
"Roberts, Pat",10000,Republican,Senate
"Westmoreland, Lynn A",8500,Republican,House
"Mourdock, Richard E",2000,Republican,Senate
"Hanabusa, Colleen",4000,Democrat,House
"Heck, Dennis",17000,Democrat,House
"Rockefeller, Jay",2000,Democrat,Senate
"Barletta, Lou",9000,Republican,House
"Huelskamp, Tim",2000,Republican,House
"Labrador, Raul",4000,Republican,House
"Yoder, Kevin",14000,Republican,House
"Barber, Ron",9000,Democrat,House
"Massie, Thomas",7000,Republican,House
"Walberg, Tim",2000,Republican,House
"Luetkemeyer, Blaine",17000,Republican,House
"Griffin, Tim",5000,Republican,House
"King, Steven A",3000,Republican,House
"Bishop, Timothy H",3000,Democrat,House
"Stutzman, Marlin",10000,Republican,House
"DeSantis, Ron",6000,Republican,House
"Kucinich, Dennis",2000,Democrat,House
"Black, Diane",7500,Republican,House
"Tsongas, Niki",10500,Democrat,House
"Marino, Tom",12000,Republican,House
"Roby, Martha",12500,Republican,House
"Campbell, John",4000,Republican,House
"Nolan, Rick",7000,Democrat,House
