Recipient,Total,Party,Chamber
"Gowdy, Trey",23500,Republican,House
"Waring, James F",5000,Republican,House
"Raby, Stephen",2500,Democrat,House
"Kyl, Jon",3500,Republican,Senate
"Giffords, Gabrielle",3000,Democrat,House
"Duffy, Sean P",33500,Republican,House
"Rangel, Charles B",2000,Democrat,House
"Carmouche, Paul J",1000,Democrat,House
"Franks, Trent",5500,Republican,House
"Pastor, Ed",6000,Democrat,House
"Minnick, Walt",1000,Democrat,House
"DeGette, Diana",750,Democrat,House
"Tiahrt, Todd",17000,Republican,House
"Huelskamp, Tim",30500,Republican,House
"Peterson, Collin",24500,Democrat,House
"Schweikert, David",31000,Republican,House
"Palazzo, Steven",23500,Republican,House
"Brown, Scott",92500,Republican,Senate
"Scott, Austin",13000,Republican,House
"Young, Todd",12000,Republican,House
"Mulvaney, Mick",19750,Republican,House
"Southerland, Steve",15000,Republican,House
"Hartzler, Vicky",15000,Republican,House
"Scott, David",4500,Democrat,House
"Diaz-Balart, Lincoln",2500,Republican,House
"Cornilles, Robert",9500,Republican,House
"Spratt, John M Jr",2500,Democrat,House
"Huizenga, Bill",12500,Republican,House
"Nugent, Richard",15000,Republican,House
"Fossella, Vito",1000,Republican,House
"Schumer, Charles E",15500,Democrat,Senate
"Kind, Ron",2000,Democrat,House
"Maffei, Dan",1000,Democrat,House
"Harkin, Tom",3500,Democrat,Senate
"Calvey, Kevin",1000,Republican,House
"Rokita, Todd",13000,Republican,House
"Neal, Richard E",4500,Democrat,House
"LaTourette, Steve",2000,Republican,House
"Visclosky, Pete",3500,Democrat,House
"Johnson, Bill",55000,Republican,House
"Buyer, Steve",1000,Republican,House
"Rockefeller, Jay",1000,Democrat,Senate
"Barrasso, John A",105500,Republican,Senate
"Skelton, Ike",1000,Democrat,House
"Diaz-Balart, Mario",5500,Republican,House
"Canter, David",2500,Democrat,House
"Halter, Bill",2000,Democrat,Senate
"Inhofe, James M",21250,Republican,Senate
"Olson, Bob",1000,Democrat,House
"Wyden, Ron",3000,Democrat,Senate
"Larsen, Rick",13000,Democrat,House
"Blumenauer, Earl",4000,Democrat,House
"Wittman, Rob",11000,Republican,House
"McConnell, Mitch",59000,Republican,Senate
"McKeon, Buck",5000,Republican,House
"Tedisco, Jim",1500,Republican,House
"Amash, Justin",18000,Republican,House
"Rothfus, Keith J",17750,Republican,House
"Ganley, Tom",750,Republican,House
"Andrews, Robert E",17500,Democrat,House
"Hinojosa, Ruben",16000,Democrat,House
"Devore, Chuck",5000,Republican,Senate
"Desaulnier, Mark",5000,Democrat,House
"Alexander, Lamar",5000,Republican,Senate
"Shapiro, Florence",2500,Republican,Senate
"White, Bill",1000,Democrat,Senate
"Welch, Peter",1000,Democrat,House
"Marino, Tom",11000,Republican,House
"Nadler, Jerrold",5000,Democrat,House
"Israel, Steve",8500,Democrat,House
"Baucus, Max",10500,Democrat,Senate
"Coons, Chris",3500,Democrat,Senate
"Udall, Tom",3000,Democrat,Senate
"Risch, James E",1500,Republican,Senate
"McIntyre, Mike",9000,Democrat,House
"Bilirakis, Gus",1000,Republican,House
"Murray, Patty",1000,Democrat,Senate
"Klobuchar, Amy",1000,Democrat,Senate
"Cardin, Ben",8000,Democrat,Senate
"Whitehouse, Sheldon",1000,Democrat,Senate
"Romney, Mitt",25000,Republican,
"Dewhurst, David H",75000,Republican,Senate
"Cruz, Ted",119500,Republican,Senate
"Allen, George",81000,Republican,Senate
"Mandel, Josh",48000,Republican,Senate
"Huntsman, Jon",5000,Republican,
"Williams, Roger",32500,Republican,House
