Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Duckworth, Tammy",Democrat,House,250,0,0,0,500,3000,3750,727990.9,H6IL06141,D000622,0.0003434108860426689,0.0,0.0,0.0,0.0006868217720853378,0.004120930632512027
"Larsen, Rick",Democrat,House,7000,2000,2000,6000,0,10000,27000,915213.94,H0WA02080,L000560,0.00764848489960719,0.0021852813998877686,0.0021852813998877686,0.006555844199663306,0.0,0.010926406999438842
"Fitzpatrick, Michael G",Republican,House,1000,7000,7000,17000,0,4000,36000,1087851.92,H4PA08074,F000451,0.0009192427587019381,0.006434699310913567,0.006434699310913567,0.01562712689793295,0.0,0.0036769710348077524
"Lee, Mike",Republican,Senate,5000,1500,1500,3000,0,2000,13000,13000.0,S0UT00165,L000577,0.38461538461538464,0.11538461538461539,0.11538461538461539,0.23076923076923078,0.0,0.15384615384615385
"Wenstrup, Brad",Republican,House,3000,1000,1000,16000,0,1000,22000,273449.86,H2OH02085,W000815,0.010970932660195913,0.0036569775533986377,0.0036569775533986377,0.058511640854378204,0.0,0.0036569775533986377
"Cramer, Kevin",Republican,House,5000,2000,2000,26000,0,0,35000,333050.0,H0ND01026,C001096,0.015012760846719712,0.006005104338687885,0.006005104338687885,0.0780663564029425,0.0,0.0
"Harper, Gregg",Republican,House,2500,21000,22000,15000,0,4000,64500,425600.0,H8MS03067,H001045,0.0058740601503759395,0.049342105263157895,0.05169172932330827,0.03524436090225564,0.0,0.009398496240601503
"Hoeven, John",Republican,Senate,3500,9500,9500,4000,0,0,26500,26500.0,S0ND00093,H001061,0.1320754716981132,0.3584905660377358,0.3584905660377358,0.1509433962264151,0.0,0.0
"Salmon, Matt",Republican,House,2500,4000,4500,10000,0,0,21000,21000.0,H2AZ06130,S000018,0.11904761904761904,0.19047619047619047,0.21428571428571427,0.47619047619047616,0.0,0.0
"Clay, William L Jr",Democrat,House,0,8500,8500,0,0,0,17000,587903.81,H0MO01066,C001049,0.0,0.014458147498652882,0.014458147498652882,0.0,0.0,0.0
"Hoyer, Steny H",Democrat,House,0,65500,92000,8000,0,13500,179000,2686921.16,H2MD05155,H000874,0.0,0.024377343472184346,0.03423993281589252,0.0029773854622515234,0.0,0.005024337967549446
"Brown, Sherrod",Democrat,Senate,0,10600,14600,0,3000,14000,42200,42200.0,H2OH13033,B000944,0.0,0.25118483412322273,0.3459715639810427,0.0,0.07109004739336493,0.33175355450236965
"Davis, Danny K",Democrat,House,0,3000,3000,0,0,0,6000,295760.64,H4IL07037,D000096,0.0,0.010143337531322625,0.010143337531322625,0.0,0.0,0.0
"Casey, Bob",Democrat,Senate,0,15500,23000,9500,0,12000,60000,2399399.0,S6PA00217,C001070,0.0,0.006459951012732772,0.009585733760829274,0.00395932481425557,0.0,0.005001252396954404
"Rush, Bobby L",Democrat,House,0,10500,13000,0,0,1500,25000,417530.5,H2IL01042,R000515,0.0,0.025147863449496505,0.03113544998509091,0.0,0.0,0.0035925519213566436
"Doyle, Mike",Democrat,House,0,25000,37000,5500,0,1000,68500,68500.0,H4PA18131,D000482,0.0,0.36496350364963503,0.5401459854014599,0.08029197080291971,0.0,0.014598540145985401
"Clyburn, James E",Democrat,House,0,41500,49500,2500,0,10000,103500,1884201.9,H2SC02042,C000537,0.0,0.022025240501031232,0.02627106999520593,0.0013268217169295925,0.0,0.00530728686771837
"Lucas, Frank D",Republican,House,0,6000,9500,46000,1000,4000,66500,1104033.08,H4OK06056,L000491,0.0,0.005434619767009155,0.008604814631097829,0.04166541821373685,0.0009057699611681925,0.00362307984467277
"Kirk, Mark",Republican,Senate,0,1500,1500,0,0,2000,5000,5000.0,S0IL00261,K000360,0.0,0.3,0.3,0.0,0.0,0.4
"Jenkins, Lynn",Republican,House,0,4000,8500,33500,0,6000,52000,1044282.84,H8KS02090,J000290,0.0,0.0038303798997597243,0.008139557286989414,0.03207943166048769,0.0,0.005745569849639586
"Cleaver, Emanuel",Democrat,House,0,7500,10500,1000,0,5000,24000,813340.97,H4MO05234,C001061,0.0,0.009221224894154785,0.0129097148518167,0.0012294966525539714,0.0,0.006147483262769857
"Ribble, Reid",Republican,House,0,6500,5500,20500,0,5000,37500,1098737.99,H0WI08075,R000587,0.0,0.00591587808846038,0.005005742997928014,0.018657769355913505,0.0,0.0045506754526618304
"Bustos, Cheri",Democrat,House,0,1000,1000,0,0,0,2000,542573.31,H2IL17071,B001286,0.0,0.001843068911738397,0.001843068911738397,0.0,0.0,0.0
"Wyden, Ron",Democrat,Senate,0,17500,20000,0,0,1000,38500,38500.0,S6OR00110,W000779,0.0,0.45454545454545453,0.5194805194805194,0.0,0.0,0.025974025974025976
"Scalise, Steve",Republican,House,0,17000,19000,56000,0,2500,94500,699101.0,H0LA01087,S001176,0.0,0.024316944189752266,0.027177761153252534,0.08010287497800747,0.0,0.0035760212043753335
"Rogers, Mike",Republican,House,0,11000,11000,39000,0,7000,68000,588500.0,H2AL03032,R000575,0.0,0.018691588785046728,0.018691588785046728,0.06627017841971113,0.0,0.0118946474086661
"Sewell, Terri A",Democrat,House,0,15000,16000,3000,0,4000,38000,695969.43,H0AL07086,S001185,0.0,0.021552670783255522,0.022989515502139225,0.004310534156651104,0.0,0.005747378875534806
"Isakson, Johnny",Republican,Senate,0,1000,1000,0,0,1000,3000,3000.0,S6GA00119,I000055,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
"Issa, Darrell",Republican,House,0,1000,1000,48500,0,3000,53500,863038.02,H0CA48024,I000056,0.0,0.001158697504427441,0.001158697504427441,0.05619682896473089,0.0,0.0034760925132823234
"Levin, Sander",Democrat,House,0,16500,14500,2500,0,10000,43500,1276317.52,H2MI17023,L000263,0.0,0.012927817523025149,0.01136080933841604,0.001958760230761386,0.0,0.007835040923045544
"Miller, Candice S",Republican,House,0,10000,10000,5000,0,0,25000,448450.0,H6MI12181,M001150,0.0,0.022299029992195338,0.022299029992195338,0.011149514996097669,0.0,0.0
"Huizenga, Bill",Republican,House,0,12500,12500,10000,0,4000,39000,639306.91,H0MI02094,H001058,0.0,0.01955242435906097,0.01955242435906097,0.015641939487248777,0.0,0.006256775794899511
"Peters, Gary",Democrat,House,0,9500,9500,0,0,5000,24000,24000.0,S4MI00355,P000595,0.0,0.3958333333333333,0.3958333333333333,0.0,0.0,0.20833333333333334
"Conyers, John Jr",Democrat,House,0,5000,5000,0,0,0,10000,631777.23,H6MI01028,C000714,0.0,0.007914182029004116,0.007914182029004116,0.0,0.0,0.0
