,Unnamed: 0,bill_id,member_id,vote_position,bill_cycle,bill_prop_party,member_party,percent_oil,percent_solar,percent_wind,percent_hydro,percent_nuclear,percent_coal,metric_oil,metric_solar,metric_wind,metric_hydro,metric_nuclear,metric_coal
97,97,hr1900-113,R000593,No,2014,R,R,0.02806592883637551,0.0,0.009355309612125173,0.005170039522490226,0.005170039522490226,0.0,1,0,0,0,0,0
98,98,hr1900-113,R000598,No,2014,R,R,0.03385925049951352,0.0,0.003224690523763192,0.009315772624204778,0.009315772624204778,0.014331957883391968,1,0,0,0,0,0
99,99,hr1900-113,R000487,No,2014,R,R,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
100,100,hr1900-113,R000570,No,2014,R,R,0.022874784153903142,0.0,0.005025124207722429,0.010154938503105742,0.01088776911673193,0.00041876035064353575,1,0,0,0,0,0
101,101,hr1900-113,S000051,No,2014,R,R,0.04652759421825585,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
102,102,hr1900-113,S000250,No,2014,R,R,0.04887938934775101,0.0,0.006645234201355878,0.004873171747660977,0.013349537151168251,0.0013290468402711755,1,0,0,0,0,0
103,103,hr1900-113,S001170,Yes,2014,R,D,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
104,104,hr1900-113,S001154,No,2014,R,R,0.04375659280022739,0.0,0.00771350193593752,0.014866021912897768,0.01851240464625005,0.008414729384659113,1,0,0,0,0,0
105,105,hr1900-113,S000480,Yes,2014,R,D,0.0,0.0,0.005483358534620685,0.0004569465445517237,0.0004569465445517237,0.0,1,0,0,0,0,0
106,106,hr1900-113,S000583,No,2014,R,R,0.0492892949112312,0.0,0.004718731453642672,0.0,0.002788341313516125,0.00042897558669478846,1,0,0,0,0,0
107,107,hr1900-113,T000462,No,2014,R,R,0.01194099380428913,0.0,0.0042646406443889754,0.013476264436269165,0.018423247583760374,0.0014499778190922518,1,0,0,0,0,0
108,108,hr1900-113,T000465,Yes,2014,R,D,0.0,0.0,0.0055412919342808405,0.0,0.0,0.0,1,0,0,0,0,0
