,name,session,chamber,party,fec_candidate_id,id,crp_id
2557,Earl Blumenauer,114,Rep.,D,H6OR03064,B000574,N00007727
2558,John Boehner,114,Rep.,R,,B000589,None
2559,Suzanne Bonamici,114,Rep.,D,H2OR01133,B001278,N00033474
2560,Madeleine Bordallo,114,Del.,D,H2GU00033,B001245,N00024866
2561,Mike Bost,114,Rep.,R,H4IL12060,B001295,N00035420
2562,Charles Boustany,114,Rep.,R,H4LA07029,B001255,None
2563,Brendan Boyle,114,Rep.,D,H4PA13199,B001296,N00035307
2564,Kevin Brady,114,Rep.,R,H6TX08100,B000755,N00005883
2565,Robert Brady,114,Rep.,D,H8PA01153,B001227,N00001619
2566,David Brat,114,Rep.,R,H4VA07143,B001290,N00036013
2567,Jim Bridenstine,114,Rep.,R,H2OK01143,B001283,N00033532
2568,Susan Brooks,114,Rep.,R,H2IN05082,B001284,N00033495
2569,Mo Brooks,114,Rep.,R,H0AL05163,B001274,N00030910
2570,Corrine Brown,114,Rep.,D,S0FL00403,B000911,None
2571,Julia Brownley,114,Rep.,D,H2CA00120,B001285,N00034254
2572,Vern Buchanan,114,Rep.,R,H6FL13148,B001260,N00027626
2573,Ken Buck,114,Rep.,R,H4CO04090,B001297,N00030829
2574,Larry Bucshon,114,Rep.,R,H0IN08114,B001275,N00031227
2575,Michael Burgess,114,Rep.,R,H2TX26093,B001248,N00025219
2576,Cheri Bustos,114,Rep.,D,H2IL17071,B001286,N00033390
2577,G. Butterfield,114,Rep.,D,H4NC01046,B001251,N00027035
2578,Bradley Byrne,114,Rep.,R,H4AL01123,B001289,N00035380
2579,Ken Calvert,114,Rep.,R,H2CA37023,C000059,N00007099
2580,Lois Capps,114,Rep.,D,H8CA22089,C001036,None
2581,Michael Capuano,114,Rep.,D,H8MA08071,C001037,N00000267
2582,Tony Cárdenas,114,Rep.,D,H2CA28113,C001097,N00033373
2583,John Carney,114,Rep.,D,H0DE01017,C001083,None
2584,André Carson,114,Rep.,D,H8IN07184,C001072,N00029513
2585,John Carter,114,Rep.,R,H2TX31044,C001051,N00025095
2586,Buddy Carter,114,Rep.,R,H4GA01039,C001103,N00035346
2587,Matt Cartwright,114,Rep.,D,H2PA17079,C001090,N00034128
2588,Kathy Castor,114,Rep.,D,H6FL11134,C001066,N00027514
2589,Joaquín Castro,114,Rep.,D,H2TX35011,C001091,N00033316
2590,Steven Chabot,114,Rep.,R,H8OH01043,C000266,N00003689
2591,Jason Chaffetz,114,Rep.,R,H8UT03089,C001076,N00028958
2592,Judy Chu,114,Rep.,D,H0CA32101,C001080,N00030600
2593,David Cicilline,114,Rep.,D,H0RI01073,C001084,N00032019
2594,Katherine Clark,114,Rep.,D,H4MA05084,C001101,N00035278
2595,Yvette Clarke,114,Rep.,D,H4NY11138,C001067,N00026961
2596,Curt Clawson,114,Rep.,R,H4FL19074,C001102,None
2597,William Clay,114,Rep.,D,H0MO01066,C001049,N00012460
2598,Emanuel Cleaver,114,Rep.,D,H4MO05234,C001061,N00026790
2599,James Clyburn,114,Rep.,D,H2SC02042,C000537,N00002408
2600,Mike Coffman,114,Rep.,R,H2CO00019,C001077,N00024753
2601,Steve Cohen,114,Rep.,D,H6TN09068,C001068,N00003225
2602,Tom Cole,114,Rep.,R,H2OK04055,C001053,N00025726
2603,Chris Collins,114,Rep.,R,H8NY29032,C001092,N00001285
2604,Doug Collins,114,Rep.,R,H2GA09150,C001093,N00033518
2605,James Comer,114,Rep.,R,H6KY01110,C001108,N00038260
2606,Barbara Comstock,114,Rep.,R,H4VA10089,C001105,N00036023
2607,K. Conaway,114,Rep.,R,H3TX19021,C001062,N00026041
2608,Gerald Connolly,114,Rep.,D,H8VA11062,C001078,N00029891
2609,John Conyers,114,Rep.,D,H6MI01028,C000714,N00004029
2610,Paul Cook,114,Rep.,R,H2CA08164,C001094,N00034224
2611,Jim Cooper,114,Rep.,D,S4TN00096,C000754,N00003132
2612,Jim Costa,114,Rep.,D,H4CA20082,C001059,N00026341
2613,Ryan Costello,114,Rep.,R,H0PA06076,C001106,N00031064
2614,Joe Courtney,114,Rep.,D,H2CT02112,C001069,N00024842
2615,Kevin Cramer,114,Rep.,R,H6ND00074,C001096,N00004614
2616,Rick Crawford,114,Rep.,R,H0AR01083,C001087,N00030770
2617,Ander Crenshaw,114,Rep.,R,H0FL04066,C001045,None
2618,Joseph Crowley,114,Rep.,D,H8NY07046,C001038,N00001127
2619,Henry Cuellar,114,Rep.,D,H2TX23082,C001063,N00024978
2620,John Culberson,114,Rep.,R,H0TX07055,C001048,N00009738
2621,Elijah Cummings,114,Rep.,D,H6MD07160,C000984,N00001971
2622,Carlos Curbelo,114,Rep.,R,H4FL26038,C001107,N00035403
2623,Warren Davidson,114,Rep.,R,H6OH08315,D000626,N00038767
2624,Rodney Davis,114,Rep.,R,H2IL13120,D000619,N00034784
2625,Susan Davis,114,Rep.,D,H0CA49055,D000598,N00009604
2626,Danny Davis,114,Rep.,D,H4IL07037,D000096,N00004884
2627,Peter DeFazio,114,Rep.,D,S6OR00151,D000191,N00007781
2628,Diana DeGette,114,Rep.,D,H6CO01141,D000197,N00006134
2629,John Delaney,114,Rep.,D,H2MD06195,D000620,N00033897
2630,Rosa DeLauro,114,Rep.,D,H0CT03072,D000216,N00000615
2631,Suzan DelBene,114,Rep.,D,H0WA08046,D000617,N00030693
2632,Jeffrey Denham,114,Rep.,R,H0CA19173,D000612,N00031593
2633,Charlie Dent,114,Rep.,R,H4PA15087,D000604,N00026171
2634,Ron DeSantis,114,Rep.,R,H2FL00292,D000621,N00034746
2635,Mark DeSaulnier,114,Rep.,D,H0CA10073,D000623,N00030709
2636,Scott DesJarlais,114,Rep.,R,H0TN04195,D000616,N00030957
2637,Ted Deutch,114,Rep.,D,H0FL19080,D000610,N00031317
2638,Mario Diaz-Balart,114,Rep.,R,H2FL25018,D000600,N00025337
2639,Debbie Dingell,114,Rep.,D,H4MI12079,D000624,N00036149
2640,Lloyd Doggett,114,Rep.,D,H4TX10028,D000399,N00006023
2641,Robert Dold,114,Rep.,R,H0IL10302,D000613,None
2642,Daniel Donovan,114,Rep.,R,H6NY11174,D000625,N00036928
2643,Mike Doyle,114,Rep.,D,H4PA18131,D000482,N00001373
2644,Tammy Duckworth,114,Rep.,D,H6IL06141,D000622,N00027860
2645,Sean Duffy,114,Rep.,R,H0WI07051,D000614,N00030967
2646,John Duncan,114,Rep.,R,H8TN02069,D000533,N00003209
2647,Jeffrey Duncan,114,Rep.,R,H0SC03077,D000615,N00030752
2648,Donna Edwards,114,Rep.,D,H6MD04183,E000290,None
2649,Keith Ellison,114,Rep.,D,H6MN05183,E000288,N00028257
2650,Renee Ellmers,114,Rep.,R,H0NC02059,E000291,None
2651,Tom Emmer,114,Rep.,R,H4MN06087,E000294,N00035440
2652,Eliot Engel,114,Rep.,D,H8NY19058,E000179,N00001003
