,Unnamed: 0,Unnamed: 0.1,name,fec_candidate_id,2010,2012,2014,2016,2018,2020,id,party
177,177,177,Jim Bridenstine,H2OK01143,0.0,210646.75,249963.34,273385.85,0.0,0.0,B001283,R
178,178,178,Michael Capuano,H8MA08071,378337.12,471500.0,553304.47,522850.0,780686.65,0.0,C001037,D
179,179,179,Jason Chaffetz,H8UT03089,370384.19,424938.14,573322.7,790301.17,0.0,0.0,C001076,R
180,180,180,Mike Coffman,H8CO06138,286870.19,997856.5,1396498.34,1322973.15,1295950.0,0.0,C001077,R
181,181,181,Barbara Comstock,H4VA10089,0.0,0.0,869083.05,1930020.0,1835635.38,0.0,C001105,R
182,182,182,John Conyers,H6MI01028,579403.04,631777.23,584435.98,439746.27,120000.0,0.0,C000714,D
183,183,183,Ryan Costello,H0PA06076,1000.0,0.0,881826.37,1474599.1,1043749.7,0.0,C001106,R
184,184,184,Kevin Cramer,H0ND01026,0.0,333050.0,531051.0,871500.0,844175.0,0.0,C001096,R
185,185,185,Joseph Crowley,H8NY07046,1379824.75,1626418.4,1697994.27,1650758.09,1750095.23,0.0,C001038,D
186,186,186,John Culberson,H0TX07055,339320.52,379398.42,313814.42,567001.44,1432798.71,0.0,C001048,R
187,187,187,Carlos Curbelo,H4FL26038,0.0,0.0,431894.91,1813565.92,2411313.89,0.0,C001107,R
188,188,188,John Delaney,H2MD06195,0.0,381289.8,666576.0,680850.0,56000.0,0.0,D000620,D
189,189,189,Jeffrey Denham,H0CA19173,379140.2,1167433.27,1378843.31,2053896.36,2525861.72,0.0,D000612,R
190,190,190,Charlie Dent,H4PA15087,1092300.0,817613.59,907927.66,1037404.99,143000.0,0.0,D000604,R
191,191,191,Ron DeSantis,H2FL00292,0.0,236700.0,459075.0,513010.38,0.0,0.0,D000621,R
192,192,192,Daniel Donovan,H6NY11174,0.0,0.0,0.0,799883.19,1077087.33,0.0,D000625,R
