Recipient,Total,Party,Chamber
"Hanna, Richard",2000,Republican,House
"Crawford, Dennis",2000,Democrat,House
"Schatz, Brian",1000,Democrat,Senate
"Reed, Jack",1000,Democrat,Senate
"McGovern, James P",10500,Democrat,House
"Morris, Jay",1000,Republican,House
"Burns, Timothy G",500,Republican,House
"McAllister, Vance",73,Republican,House
"Kuster, Ann",38500,Democrat,House
"Lynch, Stephen F",3000,Democrat,House
"Clark, Katherine",12000,Democrat,House
"Joyce, David P",51500,Republican,House
"Sullivan, Dan",19000,Republican,Senate
"LoBiondo, Frank",10000,Republican,House
"Ernst, Joni",26500,Republican,Senate
"Payne, Donald M Jr",11500,Democrat,House
"Smith, Chris",10500,Republican,House
"Gillespie, Ed",3500,Republican,Senate
"Lane, Charlotte",1000,Republican,House
"Westrom, Torrey",500,Republican,House
"McFadden, Mike",1000,Republican,Senate
"Costello, Ryan",39500,Republican,House
"Boyle, Brendan",15500,Democrat,House
"Collins, Susan M",16000,Republican,Senate
"Palmer, Gary",50000,Republican,House
"Demarco, Paul",10000,Republican,House
"Hurd, Will",63500,Republican,House
"Loudermilk, Barry",35500,Republican,House
"Carter, Buddy",46500,Republican,House
"Brooke, William W",5000,Republican,House
"Beason, Scott",5000,Republican,House
"Fincher, Chad",2500,Republican,House
"Sasse, Ben",15000,Republican,Senate
"Hice, Jody",30000,Republican,House
"Young, David",8000,Republican,House
"Allen, Richard W",32500,Republican,House
"Wehby, Monica",2500,Republican,Senate
"Mullin, Markwayne",32500,Republican,House
"Witt, James Lee",1500,Democrat,House
"Wilcox, Mary Rose",1000,Democrat,House
"Leibham, Joe",1000,Republican,House
"Grothman, Glenn S",13500,Republican,House
"Emmer, Tom",18000,Republican,House
"Stewart, Chris",3500,Republican,House
"Conaway, Mike",3000,Republican,House
"Buck, Ken",6500,Republican,House
"Walsh, John",1000,Democrat,Senate
"Clinton, Hillary",7500,Democrat,
"Bost, Mike",40000,Republican,House
"LaHood, Darin",44500,Republican,House
"Kaine, Tim",23500,Democrat,Senate
"Mitchell, Paul",20000,Republican,House
"Westerman, Bruce",16500,Republican,House
"Accavitti, Frank Jr",2500,Democrat,House
"Maloney, Carolyn B",1500,Democrat,House
"Stefanik, Elise",14000,Republican,House
"Graham, Gwen",6000,Democrat,House
"Collins, Chris",3000,Republican,House
"Bergman, John",28000,Republican,House
"Costa, Jim",8500,Democrat,House
"Curbelo, Carlos",32000,Republican,House
"Fleischmann, Chuck",35500,Republican,House
"Walters, Mimi",17500,Republican,House
"Comstock, Barbara",8000,Republican,House
"Cole, Tom",19500,Republican,House
"Poliquin, Bruce",15000,Republican,House
"MacArthur, Thomas",15000,Republican,House
